id,name,value,timestamp
4,A,FALSE,1667523101
71,B,TRUE,1661267562
48,C,TRUE,1671580875
32,D,TRUE,1671616655
5,A,UNDERTERMINED,1680055736
28,B,TRUE,1681488193
59,C,UNDERTERMINED,1660527858
28,D,FALSE,1656481044
36,A,UNDERTERMINED,1653903116
5,B,UNDERTERMINED,1671549250
32,C,FALSE,1671929873
98,D,FALSE,1653092530
15,A,UNDERTERMINED,1658082280
37,B,FALSE,1655377579
38,C,UNDERTERMINED,1663752233
24,D,FALSE,1672276702
16,A,UNDERTERMINED,1672838672
84,B,UNDERTERMINED,1679584962
38,C,TRUE,1678928697
86,D,TRUE,1674346385
34,E,TRUE,1665896199
75,S,FALSE,1653183996
7,D,TRUE,1677281631
2,G,TRUE,1673390191
25,F,TRUE,1667137694
54,L,UNDERTERMINED,1681120361
86,F,UNDERTERMINED,1655702878
99,A,TRUE,1667012883
87,D,UNDERTERMINED,1671209312
70,C,FALSE,1677164139
26,V,TRUE,1663339158
14,B,FALSE,1680088864
28,A,FALSE,1668874977
18,S,FALSE,1662283152
82,D,FALSE,1656960947
8,F,UNDERTERMINED,1663577579
33,C,FALSE,1666521547
30,A,TRUE,1680679210
30,S,FALSE,1661798471
70,E,TRUE,1674403203
91,W,TRUE,1677756578
94,A,UNDERTERMINED,1657453035
82,X,FALSE,1667903577
94,C,TRUE,1680979361
44,H,TRUE,1668091310
29,K,UNDERTERMINED,1662793783
54,D,UNDERTERMINED,1656220536
42,F,UNDERTERMINED,1682452639
85,H,FALSE,1663869729
13,E,UNDERTERMINED,1684044921
87,D,UNDERTERMINED,1669327887
1,A,UNDERTERMINED,1677853688
55,W,UNDERTERMINED,1666918586
89,S,FALSE,1662836691
88,D,TRUE,1667744819
37,X,FALSE,1654998249
50,C,UNDERTERMINED,1683807002
75,S,UNDERTERMINED,1677598407
91,A,FALSE,1662467527
78,D,FALSE,1656876310
40,F,FALSE,1683155011
31,R,UNDERTERMINED,1677794619
51,G,TRUE,1671767221
59,C,FALSE,1677818524
33,D,UNDERTERMINED,1653730933
10,Q,UNDERTERMINED,1661076166
37,A,UNDERTERMINED,1666899000
70,Z,TRUE,1661826395
39,S,FALSE,1668997125
40,D,TRUE,1665552775
33,E,TRUE,1663596405
31,G,UNDERTERMINED,1677458240
14,H,FALSE,1683380280
1,N,UNDERTERMINED,1664435962
13,B,UNDERTERMINED,1666914009
36,V,TRUE,1670294651
18,F,TRUE,1672051694
66,D,TRUE,1676137453
35,G,TRUE,1655350807
44,D,FALSE,1669900110
16,D,TRUE,1668444419
8,G,UNDERTERMINED,1659519074
30,H,TRUE,1665507733
16,T,TRUE,1656826549
30,G,UNDERTERMINED,1666858376
61,U,UNDERTERMINED,1683533993
78,J,FALSE,1658736787
55,H,UNDERTERMINED,1666508178
30,K,TRUE,1652981442
44,L,TRUE,1664671646
83,U,UNDERTERMINED,1671129926
72,Y,FALSE,1680347824
49,T,FALSE,1663692240
95,G,UNDERTERMINED,1665965408
8,F,TRUE,1661388168
2,E,UNDERTERMINED,1680229154
36,D,UNDERTERMINED,1661982319
59,F,FALSE,1671888610
33,G,TRUE,1662318963
75,B,TRUE,1674342899